JobTitle,BasePay,Overtimepay
GARDENER,39560.25,6005.95
GARDENER,58199.96,67.04
GARDENER,51991.01,13437.27
GARDENER,54992.92,12511.64
GARDENER,59590.0,5623.83
GARDENER,38592.21,2058.59
GARDENER,57584.0,8705.85
GARDENER,58292.0,7225.38
GARDENER,61360.0,3963.02
GARDENER,59000.0,3677.2
GARDENER,58764.0,2256.98
GARDENER,53172.32,591.65
GARDENER,56584.62,4543.4
GARDENER,33525.54,59.0
GARDENER,58528.0,13321.52
GARDENER,58882.0,1281.18
GARDENER,58764.0,759.79
GARDENER,57292.63,1480.03
GARDENER,52532.89,434.09
GARDENER,59448.4,13605.29
GARDENER,58764.01,2592.15
GARDENER,47867.5,9229.24
GARDENER,58556.7,44.69
GARDENER,45191.98,323.17
GARDENER,44019.99,36.39
GARDENER,58646.0,536.31
GARDENER,55634.94,2413.35
GARDENER,51131.06,425.53
GARDENER,58128.6,4890.29
GARDENER,57245.26,2625.97
GARDENER,24468.73,1029.21
GARDENER,58528.0,15085.34
GARDENER,58174.0,1421.1
GARDENER,53859.63,4417.62
GARDENER,52176.09,5456.35
GARDENER,57612.7,134.08
GARDENER,54987.3,2000.34
GARDENER,54550.54,170.21
GARDENER,15588.69,366.39
GARDENER,58174.0,11523.64
GARDENER,59236.01,9351.05
GARDENER,58292.0,4752.3
GARDENER,61360.0,1184.36
GARDENER,58882.0,30.0
GARDENER,51017.6,325.39
GARDENER,27662.45,648.05
GARDENER,57820.0,111.74
GARDENER,46220.06,459.47
GARDENER,37263.07,2924.9
GARDENER,58764.0,18373.95
GARDENER,57938.0,2528.96
GARDENER,56791.03,2994.4
GARDENER,55736.0,436.23
GARDENER,49521.95,1556.78
GARDENER,28508.35,1227.71
GARDENER,27843.55,1543.94
CARPENTER,78150.02,1641.18
CARPENTER,77837.5,14594.54
CARPENTER,79244.18,3516.78
CARPENTER,77603.0,937.8
CARPENTER,79350.6,468.9
CARPENTER,77212.26,4864.86
CARPENTER,77993.75,2579.01
CARPENTER,74031.14,2813.46
CARPENTER,75565.25,11898.3
CARPENTER,77681.12,2735.31
CARPENTER,77993.7,14770.34
CARPENTER,77368.52,908.48
CARPENTER,77837.49,8938.43
CARPENTER,76899.63,1318.77
CARPENTER,77524.81,1289.47
CARPENTER,77837.41,1822.97
CARPENTER,77055.97,1992.86
CARPENTER,77837.55,10491.67
CARPENTER,76743.43,7663.57
CARPENTER,78462.61,937.78
CARPENTER,74711.53,11927.65
CARPENTER,77573.27,7092.13
CARPENTER,77681.13,1318.76
CARPENTER,30888.79,195.37
CARPENTER,78150.02,114.91
CARPENTER,77993.74,7326.56
CARPENTER,47935.28,6564.6
CARPENTER,77837.4,14711.73
CARPENTER,76743.34,12103.49
CARPENTER,76899.6,21012.52
CARPENTER,78775.2,4220.13
CARPENTER,70423.9,8557.43
CARPENTER,77212.21,4894.15
CARPENTER,77524.89,4337.35
CARPENTER,76743.36,3340.93
CARPENTER,67826.0,3360.45
CARPENTER,62474.59,1465.3
CARPENTER,77368.53,2579.01
CARPENTER,53009.58,996.4
CARPENTER,77540.54,8088.52
CARPENTER,77212.21,7150.77
CARPENTER,77212.26,2256.59
CARPENTER,76587.07,732.66
CARPENTER,8406.98,19.54
CARPENTER,77524.84,5421.65
CARPENTER,23171.48,937.8
CARPENTER,78775.25,8308.3
CARPENTER,72835.83,586.12
CARPENTER,78150.0,16645.94
CARPENTER,76274.43,3165.13
CARPENTER,78150.0,2403.09
CARPENTER,77212.22,6740.44
CARPENTER,78443.23,1567.88
CASHIER I,48238.4,4302.0
CASHIER I,46535.94,6041.4
CASHIER I,12640.57,474.01
CASHIER I,28998.0,690.0
CASHIER I,33845.74,888.13
CUSTODIAN,48472.4,1570.46
CUSTODIAN,48461.54,1831.88
CUSTODIAN,41168.42,2069.62
CUSTODIAN,40830.73,2104.85
CUSTODIAN,13415.04,252.28
CUSTODIAN,48472.4,3856.31
CUSTODIAN,48472.45,1536.25
CUSTODIAN,48279.73,1212.08
CUSTODIAN,48472.4,2571.6
CUSTODIAN,47741.6,3623.71
CUSTODIAN,45805.36,2803.7
CUSTODIAN,41888.1,1342.45
CUSTODIAN,40866.24,746.48
CUSTODIAN,31460.2,1585.49
CUSTODIAN,48472.4,10372.5
CUSTODIAN,48472.4,3085.65
CUSTODIAN,47759.0,4799.83
CUSTODIAN,47985.21,2912.61
CUSTODIAN,48472.44,1239.98
CUSTODIAN,48472.4,1988.7
CUSTODIAN,46111.95,1385.95
CUSTODIAN,48472.4,274.5
CUSTODIAN,48472.4,289.05
CUSTODIAN,42142.81,887.2
CUSTODIAN,40209.87,780.62
CUSTODIAN,48472.4,3430.0
CUSTODIAN,48472.4,6650.65
CUSTODIAN,48461.51,2169.08
CUSTODIAN,48472.4,994.57
CUSTODIAN,48472.42,2405.22
CUSTODIAN,48472.4,1168.32
CUSTODIAN,44125.58,5664.32
CUSTODIAN,47750.31,3241.23
CUSTODIAN,48472.45,2238.77
CUSTODIAN,33248.97,1295.3
CUSTODIAN,32907.59,924.63
CUSTODIAN,14275.24,674.58
CUSTODIAN,48472.45,3053.56
CUSTODIAN,48472.45,3071.86
CUSTODIAN,48400.18,3368.13
CUSTODIAN,47890.45,629.14
CUSTODIAN,47904.19,3552.02
CUSTODIAN,48642.9,1697.85
CUSTODIAN,48472.4,1406.4
CUSTODIAN,47297.64,935.87
CUSTODIAN,48581.42,1293.98
CUSTODIAN,48472.45,3368.13
CUSTODIAN,48461.5,2438.19
CUSTODIAN,48472.44,2757.29
CUSTODIAN,48461.54,2146.45
CUSTODIAN,47759.0,5177.4
CUSTODIAN,46643.51,1221.68
CUSTODIAN,44822.83,271.59
CUSTODIAN,47568.9,445.14
CUSTODIAN,47985.22,72.26
CUSTODIAN,44475.14,271.59
CUSTODIAN,33793.24,7243.7
CUSTODIAN,26300.61,4208.75
CUSTODIAN,20511.4,1566.71
CUSTODIAN,48472.39,961.05
CUSTODIAN,47724.14,1262.76
CUSTODIAN,48472.46,2405.22
CUSTODIAN,48472.4,2929.33
CUSTODIAN,48461.5,1988.7
CUSTODIAN,4446.66,507.36
CUSTODIAN,48472.4,2804.98
CUSTODIAN,48472.46,2165.39
CUSTODIAN,48472.4,3120.6
CUSTODIAN,42856.87,180.65
CUSTODIAN,32584.36,461.85
CUSTODIAN,25214.6,988.63
CUSTODIAN,22744.58,1042.67
CUSTODIAN,48461.5,1884.17
CUSTODIAN,48461.5,941.76
CUSTODIAN,48472.4,1246.04
CUSTODIAN,48472.4,320.35
CUSTODIAN,48555.62,2829.15
CUSTODIAN,48472.45,629.14
CUSTODIAN,48461.54,312.17
CUSTODIAN,48472.4,1819.32
CUSTODIAN,47759.0,2380.17
CUSTODIAN,47759.0,324.87
CUSTODIAN,48087.0,289.05
CUSTODIAN,45151.21,1178.14
CUSTODIAN,29910.88,536.91
CUSTODIAN,28352.32,1073.16
CUSTODIAN,9227.42,708.36
CUSTODIAN,48461.54,2128.15
CUSTODIAN,48472.41,833.71
CUSTODIAN,39721.88,274.89
CUSTODIAN,31510.57,536.91
CUSTODIAN,29926.49,1062.27
CUSTODIAN,28361.21,536.91
CUSTODIAN,48461.85,11507.09
CUSTODIAN,48461.54,2146.45
CUSTODIAN,48472.45,1536.25
CUSTODIAN,47974.3,2205.45
CUSTODIAN,41974.43,2648.24
CUSTODIAN,41956.95,1023.93
CUSTODIAN,31492.52,1361.58
CUSTODIAN,48472.4,10346.8
